title,link,author,year,journal,publisher
Modern physical organic chemistry,https://books.google.com/books?hl=en&lr=&id=gY-Sxijk_tMC&oi=fnd&pg=PR23&dq=physical+organic+chemistry&ots=exsKefLoXc&sig=Me7WmiOa2xDVvrSLNBLjw7poTCg,"EV Anslyn, DA Dougherty",2006,NA,books.google.com
Physical Organic Chemistry,https://www.annualreviews.org/doi/pdf/10.1146/annurev.pc.09.100158.001443,"RW Taft Jr, NC Deno, PS Skell",1958,Review of Physical Chemistry,annualreviews.org
Advances in physical organic chemistry,https://books.google.com/books?hl=en&lr=&id=GItRPXjtK-oC&oi=fnd&pg=PP2&dq=physical+organic+chemistry&ots=zmh22RKiWf&sig=BYYvugMt10oEQoOMi4DVIfoPwM4,"V Gold, D Bethell",1976,NA,books.google.com
Vitamin E: application of the principles of physical organic chemistry to the exploration of its structure and function,https://pubs.acs.org/doi/pdf/10.1021/ar00127a001,"GW Burton, KU Ingold",1986,Accounts of chemical research,ACS Publications
Using physical organic chemistry to shape the course of electrochemical reactions,https://pubs.acs.org/doi/abs/10.1021/acs.chemrev.7b00656,KD Moeller,2018,Chemical reviews,ACS Publications
Noncovalent synthesis: using physical-organic chemistry to make aggregates,https://pubs.acs.org/doi/pdf/10.1021/ar00049a006,"GM Whitesides, EE Simanek, JP Mathias",1995,Accounts of Chemical,ACS Publications
Physical organic chemistry: quantitative conformational analysis calculation methods,https://www.annualreviews.org/doi/pdf/10.1146/annurev.pc.19.100168.002531,"JE Williams, PJ Stand",1968,of Physical Chemistry,annualreviews.org
"Encyclopedia of physical organic chemistry, 6 volume Set",https://books.google.com/books?hl=en&lr=&id=qYebCgAAQBAJ&oi=fnd&pg=PR13&dq=physical+organic+chemistry&ots=X0820kULo0&sig=tKC1Prt7WG3dInfbdxkxU258u44,"Z Wang, U Wille, E Juaristi",2017,NA,books.google.com
Physical organic chemistry of solid acids: lessons from in situ NMR and theoretical chemistry,https://pubs.acs.org/doi/full/10.1021/ar950105k,"JF Haw, JB Nicholas, T Xu, LW Beck",1996,Accounts of chemical,ACS Publications
Physical organic chemistry of supramolecular polymers,https://pubs.acs.org/doi/abs/10.1021/la0621416,"MJ Serpe, SL Craig",2007,Langmuir,ACS Publications
